"input" "reason" "matches" "symbol" "organism.shortName" "name" "length" "secondaryIdentifier" "primaryIdentifier" "class"
"SAM4" "MATCH" "1" "SAM4" "S. cerevisiae" "S-AdenosylMethionine metabolism" "978" "YPL273W" "S000006194" "ORF"
"SAM1" "MATCH" "1" "SAM1" "S. cerevisiae" "S-AdenosylMethionine requiring" "1149" "YLR180W" "S000004170" "ORF"
"CHK1" "MATCH" "1" "CHK1" "S. cerevisiae" "CHeckpoint Kinase" "1584" "YBR274W" "S000000478" "ORF"
"SDS3" "MATCH" "1" "SDS3" "S. cerevisiae" "Suppressor of Defective Silencing" "984" "YIL084C" "S000001346" "ORF"
"MKS1" "MATCH" "1" "MKS1" "S. cerevisiae" "Multicopy Kinase Suppressor" "1755" "YNL076W" "S000005020" "ORF"
"PPT1" "MATCH" "1" "PPT1" "S. cerevisiae" "Protein Phosphatase T" "1542" "YGR123C" "S000003355" "ORF"
"IES1" "MATCH" "1" "IES1" "S. cerevisiae" "Ino Eighty Subunit" "2079" "YFL013C" "S000001881" "ORF"
"IES2" "MATCH" "1" "IES2" "S. cerevisiae" "Ino Eighty Subunit" "963" "YNL215W" "S000005159" "ORF"
"VHR1" "MATCH" "1" "VHR1" "S. cerevisiae" "VHt1 Regulator" "1923" "YIL056W" "S000001318" "ORF"
"NKP2" "MATCH" "1" "NKP2" "S. cerevisiae" "Non-essential Kinetochore Protein" "462" "YLR315W" "S000004307" "ORF"
"HCR1" "MATCH" "1" "HCR1" "S. cerevisiae" "High-Copy suppressor of Rpg1" "798" "YLR192C" "S000004182" "ORF"
"IES5" "MATCH" "1" "IES5" "S. cerevisiae" "Ino Eighty Subunit" "378" "YER092W" "S000000894" "ORF"
"IES6" "MATCH" "1" "IES6" "S. cerevisiae" "Ino Eighty Subunit" "501" "YEL044W" "S000000770" "ORF"
"IES3" "MATCH" "1" "IES3" "S. cerevisiae" "Ino Eighty Subunit" "753" "YLR052W" "S000004042" "ORF"
"RAD18" "MATCH" "1" "RAD18" "S. cerevisiae" "RADiation sensitive" "1464" "YCR066W" "S000000662" "ORF"
"MEI5" "MATCH" "1" "MEI5" "S. cerevisiae" "MEIosis" "669" "YPL121C" "S000006042" "ORF"
"ZWF1" "MATCH" "1" "ZWF1" "S. cerevisiae" "ZWischenFerment" "1518" "YNL241C" "S000005185" "ORF"
"MET13" "MATCH" "1" "MET13" "S. cerevisiae" "METhionine requiring" "1803" "YGL125W" "S000003093" "ORF"
"ASH1" "MATCH" "1" "ASH1" "S. cerevisiae" "Asymmetric Synthesis of HO" "1767" "YKL185W" "S000001668" "ORF"
"SOK2" "MATCH" "1" "SOK2" "S. cerevisiae" "Suppressor Of Kinase" "2358" "YMR016C" "S000004618" "ORF"
"YGR122W" "MATCH" "1" "" "S. cerevisiae" "" "1209" "YGR122W" "S000003354" "ORF"
"PIH1" "MATCH" "1" "PIH1" "S. cerevisiae" "Protein Interacting with Hsp90" "1035" "YHR034C" "S000001076" "ORF"
"RAS2" "MATCH" "1" "RAS2" "S. cerevisiae" "homologous to RAS proto-oncogene" "969" "YNL098C" "S000005042" "ORF"
"HST1" "MATCH" "1" "HST1" "S. cerevisiae" "Homolog of SIR Two (SIR2)" "1512" "YOL068C" "S000005429" "ORF"
"IPK1" "MATCH" "1" "IPK1" "S. cerevisiae" "Inositol Polyphosphate Kinase" "846" "YDR315C" "S000002723" "ORF"
"CIN8" "MATCH" "1" "CIN8" "S. cerevisiae" "Chromosome INstability" "3003" "YEL061C" "S000000787" "ORF"
"CIN5" "MATCH" "1" "CIN5" "S. cerevisiae" "Chromosome INstability" "888" "YOR028C" "S000005554" "ORF"
"ABF2" "MATCH" "1" "ABF2" "S. cerevisiae" "ARS-Binding Factor" "552" "YMR072W" "S000004676" "ORF"
"YKU70" "MATCH" "1" "YKU70" "S. cerevisiae" "Yeast KU protein" "1809" "YMR284W" "S000004897" "ORF"
"CHL1" "MATCH" "1" "CHL1" "S. cerevisiae" "CHromosome Loss" "2586" "YPL008W" "S000005929" "ORF"
"MRC1" "MATCH" "1" "MRC1" "S. cerevisiae" "Mediator of the Replication Checkpoint" "3291" "YCL061C" "S000000566" "ORF"
"GAT2" "MATCH" "1" "GAT2" "S. cerevisiae" "" "1683" "YMR136W" "S000004744" "ORF"
"LEM3" "MATCH" "1" "LEM3" "S. cerevisiae" "Ligand-Effect Modulator" "1245" "YNL323W" "S000005267" "ORF"
"ASI2" "MATCH" "1" "ASI2" "S. cerevisiae" "Amino acid Sensor-Independent" "870" "YNL159C" "S000005103" "ORF"
"RMI1" "MATCH" "1" "RMI1" "S. cerevisiae" "RecQ Mediated genome Instability" "726" "YPL024W" "S000005945" "ORF"
"TRM1" "MATCH" "1" "TRM1" "S. cerevisiae" "tRNA Methyltransferase" "1713" "YDR120C" "S000002527" "ORF"
"SCS2" "MATCH" "1" "SCS2" "S. cerevisiae" "Suppressor of Choline Sensitivity" "735" "YER120W" "S000000922" "ORF"
"UPF3" "MATCH" "1" "UPF3" "S. cerevisiae" "UP Frameshift" "1164" "YGR072W" "S000003304" "ORF"
"ADD66" "MATCH" "1" "ADD66" "S. cerevisiae" "Alpha1-proteinase inhibitor-Degradation Deficient" "804" "YKL206C" "S000001689" "ORF"
"YKU80" "MATCH" "1" "YKU80" "S. cerevisiae" "Yeast KU protein" "1890" "YMR106C" "S000004712" "ORF"
"SRP40" "MATCH" "1" "SRP40" "S. cerevisiae" "Serine Rich Protein" "1221" "YKR092C" "S000001800" "ORF"
"YER064C" "MATCH" "1" "VHR2" "S. cerevisiae" "VHt1 Regulator" "1518" "YER064C" "S000000866" "ORF"
"HAP2" "MATCH" "1" "HAP2" "S. cerevisiae" "Heme Activator Protein" "798" "YGL237C" "S000003206" "ORF"
"HAP1" "MATCH" "1" "HAP1" "S. cerevisiae" "Heme Activator Protein" "4509" "YLR256W" "S000004246" "ORF"
"HAP4" "MATCH" "1" "HAP4" "S. cerevisiae" "Heme Activator Protein" "1665" "YKL109W" "S000001592" "ORF"
"HAP3" "MATCH" "1" "HAP3" "S. cerevisiae" "Heme Activator Protein" "435" "YBL021C" "S000000117" "ORF"
"MET18" "MATCH" "1" "MET18" "S. cerevisiae" "METhionine requiring" "3099" "YIL128W" "S000001390" "ORF"
"HAP5" "MATCH" "1" "HAP5" "S. cerevisiae" "Heme Activator Protein" "729" "YOR358W" "S000005885" "ORF"
"OCA1" "MATCH" "1" "OCA1" "S. cerevisiae" "Oxidant-induced Cell-cycle Arrest" "717" "YNL099C" "S000005043" "ORF"
"CTF4" "MATCH" "1" "CTF4" "S. cerevisiae" "Chromosome Transmission Fidelity" "2784" "YPR135W" "S000006339" "ORF"
"GZF3" "MATCH" "1" "GZF3" "S. cerevisiae" "Gata Zinc Finger protein" "1656" "YJL110C" "S000003646" "ORF"
"MAC1" "MATCH" "1" "MAC1" "S. cerevisiae" "Metal binding ACtivator" "1254" "YMR021C" "S000004623" "ORF"
"OCA2" "MATCH" "1" "OCA2" "S. cerevisiae" "Oxidant-induced Cell cycle Arrest" "594" "YNL056W" "S000005001" "ORF"
"BRE2" "MATCH" "1" "BRE2" "S. cerevisiae" "BREfeldin A sensitivity" "1518" "YLR015W" "S000004005" "ORF"
"SPO7" "MATCH" "1" "SPO7" "S. cerevisiae" "SPOrulation" "780" "YAL009W" "S000000007" "ORF"
"BRE1" "MATCH" "1" "BRE1" "S. cerevisiae" "BREfeldin A sensitivity" "2103" "YDL074C" "S000002232" "ORF"
"OCA4" "MATCH" "1" "OCA4" "S. cerevisiae" "Oxidant-induced Cell-cycle Arrest" "1089" "YCR095C" "S000000691" "ORF"
"GSY2" "MATCH" "1" "GSY2" "S. cerevisiae" "Glycogen SYnthase" "2118" "YLR258W" "S000004248" "ORF"
"SMI1" "MATCH" "1" "SMI1" "S. cerevisiae" "Suppressor of MAR Inhibitor" "1518" "YGR229C" "S000003461" "ORF"
"PET112" "MATCH" "1" "PET112" "S. cerevisiae" "PETite colonies" "1626" "YBL080C" "S000000176" "ORF"
"GSY1" "MATCH" "1" "GSY1" "S. cerevisiae" "Glycogen SYnthase" "2127" "YFR015C" "S000001911" "ORF"
"URM1" "MATCH" "1" "URM1" "S. cerevisiae" "Ubiquitin Related Modifier" "300" "YIL008W" "S000001270" "ORF"
"OCA5" "MATCH" "1" "OCA5" "S. cerevisiae" "Oxidant-induced Cell-cycle Arrest" "2040" "YHL029C" "S000001021" "ORF"
"OCA6" "MATCH" "1" "OCA6" "S. cerevisiae" "Oxidant-induced Cell-cycle Arrest" "675" "YDR067C" "S000002474" "ORF"
"RCY1" "MATCH" "1" "RCY1" "S. cerevisiae" "ReCYcling" "2523" "YJL204C" "S000003740" "ORF"
"MSG5" "MATCH" "1" "MSG5" "S. cerevisiae" "Multicopy Suppressor of GPA1" "1470" "YNL053W" "S000004998" "ORF"
"GGA2" "MATCH" "1" "GGA2" "S. cerevisiae" "Golgi-localized, Gamma-adaptin ear homology, Arf-binding protein" "1758" "YHR108W" "S000001150" "ORF"
"LEO1" "MATCH" "1" "LEO1" "S. cerevisiae" "LEft Open reading frame" "1395" "YOR123C" "S000005649" "ORF"
"SPP1" "MATCH" "1" "SPP1" "S. cerevisiae" "Set1c, Phd finger Protein" "1062" "YPL138C" "S000006059" "ORF"
"APC9" "MATCH" "1" "APC9" "S. cerevisiae" "Anaphase Promoting Complex" "798" "YLR102C" "S000004092" "ORF"
"PMS1" "MATCH" "1" "PMS1" "S. cerevisiae" "PostMeiotic Segregation" "2622" "YNL082W" "S000005026" "ORF"
"YNR047W" "MATCH" "1" "FPK1" "S. cerevisiae" "FliPase Kinase" "2682" "YNR047W" "S000005330" "ORF"
"TLC1" "MATCH" "1" "TLC1" "" "TeLomerase Component" "" "YNCB0010W" "S000006657" "TelomeraseRNAGene"
"TPK3" "MATCH" "1" "TPK3" "S. cerevisiae" "Takashi's Protein Kinase" "1197" "YKL166C" "S000001649" "ORF"
"RIC1" "MATCH" "1" "RIC1" "S. cerevisiae" "RIbosome Control" "3171" "YLR039C" "S000004029" "ORF"
"NFI1" "MATCH" "1" "NFI1" "S. cerevisiae" "Neck Filament Interacting" "2181" "YOR156C" "S000005682" "ORF"
"DLS1" "MATCH" "1" "DLS1" "S. cerevisiae" "Dpb3-Like Subunit of ISW2/yCHRAC complex" "504" "YJL065C" "S000003601" "ORF"
"BUL1" "MATCH" "1" "BUL1" "S. cerevisiae" "Binds Ubiquitin Ligase" "2931" "YMR275C" "S000004888" "ORF"
"GPR1" "MATCH" "1" "GPR1" "S. cerevisiae" "G-Protein coupled Receptor" "2886" "YDL035C" "S000002193" "ORF"
"ELP2" "MATCH" "1" "ELP2" "S. cerevisiae" "ELongator Protein" "2367" "YGR200C" "S000003432" "ORF"
"ITT1" "MATCH" "1" "ITT1" "S. cerevisiae" "Inhibitor of Translation Termination" "1395" "YML068W" "S000004533" "ORF"
"ELP4" "MATCH" "1" "ELP4" "S. cerevisiae" "ELongator Protein" "1371" "YPL101W" "S000006022" "ORF"
"ELP6" "MATCH" "1" "ELP6" "S. cerevisiae" "ELongator Protein" "822" "YMR312W" "S000004929" "ORF"
"HOM2" "MATCH" "1" "HOM2" "S. cerevisiae" "HOMoserine requiring" "1098" "YDR158W" "S000002565" "ORF"
"YVH1" "MATCH" "1" "YVH1" "S. cerevisiae" "Yeast vaccinia virus VH1 Homolog" "1095" "YIR026C" "S000001465" "ORF"
"DEF1" "MATCH" "1" "DEF1" "S. cerevisiae" "RNAPII DEgradation Factor" "2217" "YKL054C" "S000001537" "ORF"
"CCE1" "MATCH" "1" "CCE1" "S. cerevisiae" "Cruciform Cutting Endonuclease" "1062" "YKL011C" "S000001494" "ORF"
"CHO2" "MATCH" "1" "CHO2" "S. cerevisiae" "CHOline requiring" "2610" "YGR157W" "S000003389" "ORF"
"TSR2" "MATCH" "1" "TSR2" "S. cerevisiae" "Twenty S rRNA accumulation" "618" "YLR435W" "S000004427" "ORF"
"TIP41" "MATCH" "1" "TIP41" "S. cerevisiae" "Tap42 Interacting Protein" "1071" "YPR040W" "S000006244" "ORF"
"CTF8" "MATCH" "1" "CTF8" "S. cerevisiae" "Chromosome Transmission Fidelity" "402" "YHR191C" "S000001234" "ORF"
"BRE5" "MATCH" "1" "BRE5" "S. cerevisiae" "BREfeldin A sensitivity" "1548" "YNR051C" "S000005334" "ORF"
"HTZ1" "MATCH" "1" "HTZ1" "S. cerevisiae" "Histone Two A Z" "405" "YOL012C" "S000005372" "ORF"
"MRE11" "MATCH" "1" "MRE11" "S. cerevisiae" "Meiotic REcombination" "2079" "YMR224C" "S000004837" "ORF"
"UME1" "MATCH" "1" "UME1" "S. cerevisiae" "Unscheduled Meiotic gene Expression" "1383" "YPL139C" "S000006060" "ORF"
"RIF1" "MATCH" "1" "RIF1" "S. cerevisiae" "RAP1-Interacting Factor" "5751" "YBR275C" "S000000479" "ORF"
"IRS4" "MATCH" "1" "IRS4" "S. cerevisiae" "Increased rDNA Silencing" "1848" "YKR019C" "S000001727" "ORF"
"SAT4" "MATCH" "1" "SAT4" "S. cerevisiae" "" "1812" "YCR008W" "S000000601" "ORF"
"MUM2" "MATCH" "1" "MUM2" "S. cerevisiae" "MUddled Meiosis" "1101" "YBR057C" "S000000261" "ORF"
"UBP1" "MATCH" "1" "UBP1" "S. cerevisiae" "UBiquitin-specific Protease" "2430" "YDL122W" "S000002280" "ORF"
"CTF19" "MATCH" "1" "CTF19" "S. cerevisiae" "Chromosome Transmission Fidelity" "1110" "YPL018W" "S000005939" "ORF"
"MSI1" "MATCH" "1" "MSI1" "S. cerevisiae" "Multicopy Suppressor of IRA1" "1269" "YBR195C" "S000000399" "ORF"
"CTF18" "MATCH" "1" "CTF18" "S. cerevisiae" "Chromosome Transmission Fidelity" "2226" "YMR078C" "S000004683" "ORF"
"EFG1" "MATCH" "1" "EFG1" "S. cerevisiae" "Exit From G1" "702" "YGR271C-A" "S000007608" "ORF"
"EDC1" "MATCH" "1" "EDC1" "S. cerevisiae" "Enhancer of mRNA DeCapping" "528" "YGL222C" "S000003190" "ORF"
"UBP8" "MATCH" "1" "UBP8" "S. cerevisiae" "UBiquitin-specific processing Protease" "1416" "YMR223W" "S000004836" "ORF"
"DCC1" "MATCH" "1" "DCC1" "S. cerevisiae" "Defective in sister Chromatid Cohesion" "1143" "YCL016C" "S000000521" "ORF"
"SYC1" "MATCH" "1" "SYC1" "S. cerevisiae" "Similar to Ysh1 C-terminal" "567" "YOR179C" "S000005705" "ORF"
"NTH2" "MATCH" "1" "NTH2" "S. cerevisiae" "Neutral TreHalase" "2343" "YBR001C" "S000000205" "ORF"
"DEG1" "MATCH" "1" "DEG1" "S. cerevisiae" "DEpressed Growth rate" "1329" "YFL001W" "S000001895" "ORF"
"UBP6" "MATCH" "1" "UBP6" "S. cerevisiae" "UBiquitin-specific Protease" "1500" "YFR010W" "S000001906" "ORF"
"CDH1" "MATCH" "1" "CDH1" "S. cerevisiae" "CDC20 Homolog" "1701" "YGL003C" "S000002971" "ORF"
"UBP3" "MATCH" "1" "UBP3" "S. cerevisiae" "UBiquitin-specific Protease" "2739" "YER151C" "S000000953" "ORF"
"TOM1" "MATCH" "1" "TOM1" "S. cerevisiae" "Temperature dependent Organization in Mitotic nucleus or Trigger Of Mitosis" "9807" "YDR457W" "S000002865" "ORF"
